model,case,episodes,failed,traversed,settled,passed,mean_duration,moving_speed,moving_command,fast_command_speed,tracking_xy
model_27500,ascent/10cm/0.45,22,4,10,0,0,18.66272727272727,1.5609510135345948,0.4495668208726791,0.0,0.6356949149207636
model_27500,ascent/10cm/0.65,23,7,14,3,3,17.58,1.4724766368238968,0.6479196127736608,0.0,0.6136094234559847
model_27500,ascent/14cm/0.45,35,33,18,1,1,10.577142857142857,0.9769777896737568,0.44963800139908694,0.0,0.5821952734674726
model_27500,ascent/14cm/0.65,40,38,14,0,0,9.164,1.1192932259558996,0.6479220887072453,0.0,0.5421093964949251
model_27500,ascent/8cm/0.45,24,7,20,3,3,17.423333333333336,1.2643359571794246,0.4497214970740169,0.0,0.7108448023597399
model_27500,ascent/8cm/0.65,22,2,15,6,6,19.14,1.5479140357849317,0.6464922302701095,0.0,0.6892427639527754
model_27500,descent/10cm/0.45,14,0,14,11,11,20.0,0.8302450032033307,0.44837978303828946,0.0,0.560880286352975
model_27500,descent/10cm/0.65,12,1,12,9,8,19.956666666666667,1.2906514100403181,0.6387370210935325,0.0,0.5000817179679871
model_27500,descent/14cm/0.45,22,16,20,1,1,11.499090909090908,1.1619171221117814,0.4496758104962169,0.0,0.553219196471301
model_27500,descent/14cm/0.65,21,18,17,0,0,9.596190476190477,1.4045035767650145,0.6481874371234311,0.0,0.4667609653302601
model_27500,descent/8cm/0.45,14,0,14,10,9,20.0,0.857637449644133,0.44956255483103325,0.0,0.5599704682826996
model_27500,descent/8cm/0.65,12,0,12,10,10,20.0,0.9259295505170839,0.6402198498577764,0.0,0.5092993453145027
model_27500,flat/0.8,32,0,0,0,0,20.0,0.8988836254959759,0.7990116564232398,0.0,0.746739805676043
model_27500,flat/1.2,32,0,0,0,0,20.0,1.1166406869840904,1.1888109865688776,1.1224018563648617,0.6746836937963963
model_27500,flat/1.8,32,1,0,0,0,19.943125,2.1781327903628225,1.7374510555902145,2.170155658031402,0.20347530546132475
model_27500,other,76,0,0,0,0,20.0,0.7498958107044054,0.4495026223316107,0.0,0.6601365228722754
model_28500,ascent/10cm/0.45,25,14,12,0,0,16.2104,1.3296269470245654,0.44965030876209733,0.0,0.6211699712276458
model_28500,ascent/10cm/0.65,24,11,5,0,0,16.107499999999998,1.682538074253666,0.6474573608506872,0.0,0.566254456837972
model_28500,ascent/14cm/0.45,30,27,13,0,0,11.512,0.9899325896953715,0.44966000935126993,0.0,0.5616568366686503
model_28500,ascent/14cm/0.65,37,33,17,0,0,10.076756756756756,1.2480014058102513,0.6475829246667271,0.0,0.5682992625075418
model_28500,ascent/8cm/0.45,24,4,17,2,2,18.79,1.396879867302819,0.44971312488200477,0.0,0.6544607604543368
model_28500,ascent/8cm/0.65,22,5,16,2,2,18.515454545454546,1.636373592588461,0.6479606359777316,0.0,0.6433144807815552
model_28500,descent/10cm/0.45,15,4,13,1,1,17.148000000000003,1.5027075568436845,0.4494470203612582,0.0,0.527284832795461
model_28500,descent/10cm/0.65,12,1,12,1,1,19.37,1.6605666412868823,0.6472979146588811,0.0,0.4754107842842738
model_28500,descent/14cm/0.45,22,19,7,0,0,11.192727272727273,1.4122287786806733,0.4492794231865734,0.0,0.44054198095744307
model_28500,descent/14cm/0.65,21,17,9,0,0,10.252380952380953,1.5245377055832756,0.6470513676022455,0.0,0.4529463109515962
model_28500,descent/8cm/0.45,14,0,14,5,5,20.0,1.0493553679706211,0.4491542215312357,0.0,0.5216316474335534
model_28500,descent/8cm/0.65,12,2,12,6,6,18.896666666666665,1.2168169599998484,0.6443335905734171,0.0,0.4842320755124092
model_28500,flat/0.8,32,0,0,0,0,20.0,1.0113288164384333,0.7986916803110518,0.0,0.6210445007309318
model_28500,flat/1.2,32,0,0,0,0,20.0,1.3633138866499979,1.1872830342644032,1.3690176527050273,0.5168681023642421
model_28500,flat/1.8,32,3,0,0,0,19.78875,2.304438827214046,1.70634972329907,2.294713485919847,0.14707442955113947
model_28500,other,76,0,0,0,0,20.0,0.88180031721744,0.4494554620594515,0.0,0.5712084189841622
model_30000,ascent/10cm/0.45,22,2,0,0,0,19.05545454545455,0.05891718704036981,0.450003796761189,0.0,0.5101960504596884
model_30000,ascent/10cm/0.65,22,3,20,16,16,18.258181818181818,0.5920440530478333,0.6464130967046622,0.0,0.6283489289608869
model_30000,ascent/14cm/0.45,22,1,0,0,0,19.475454545454543,0.049689160579273,0.4500039313317683,0.0,0.49261305413462897
model_30000,ascent/14cm/0.65,26,12,10,3,3,14.694615384615386,0.3190020217206736,0.6491930386509459,0.0,0.4167528576575793
model_30000,ascent/8cm/0.45,24,0,5,4,4,20.0,0.10225552137919397,0.4497986680664197,0.0,0.5397643782198429
model_30000,ascent/8cm/0.65,22,0,22,19,19,20.0,0.6045652483610829,0.6430542073442262,0.0,0.7240361869335175
model_30000,descent/10cm/0.45,14,0,14,12,12,20.0,0.6156932861512335,0.4498038723675058,0.0,0.6579426527023315
model_30000,descent/10cm/0.65,12,1,12,5,5,18.953333333333333,0.8577738270293729,0.6436150742486131,0.0,0.5714134126901627
model_30000,descent/14cm/0.45,15,5,12,4,4,16.252,0.6424387071198401,0.44965947854964294,0.0,0.6546468456586202
model_30000,descent/14cm/0.65,12,2,11,9,9,17.641666666666666,0.8361973002934558,0.6416809518431602,0.0,0.5495224843422571
model_30000,descent/8cm/0.45,14,0,14,14,14,20.0,0.6158013582649682,0.4498420175724716,0.0,0.6755651193005698
model_30000,descent/8cm/0.65,12,0,12,9,9,20.0,0.8686015988078296,0.6500007844442673,0.0,0.5856049110492071
model_30000,flat/0.8,32,0,0,0,0,20.0,0.777260750301514,0.7989976558637074,0.0,0.8340519312769175
model_30000,flat/1.2,32,0,0,0,0,20.0,0.9977299624742808,1.1878109254328804,1.0043629865370887,0.6932998280972242
model_30000,flat/1.8,32,0,0,0,0,20.0,1.4101617755198523,1.7368808946860788,1.4239525202743404,0.48579933773726225
model_30000,other,76,1,0,0,0,19.905263157894737,0.42367799033319914,0.44967224774730435,0.0,0.8267504682666377
model_31800,ascent/10cm/0.45,22,0,0,0,0,20.0,0.03636929690064549,0.4500040465972396,0.0,0.4803564629771493
model_31800,ascent/10cm/0.65,22,6,10,3,3,17.746363636363636,0.40920003993877235,0.6491640389048048,0.0,0.43614676188338886
model_31800,ascent/14cm/0.45,22,0,0,0,0,20.0,0.04194031702933262,0.4500040465972396,0.0,0.47681498527526855
model_31800,ascent/14cm/0.65,24,10,6,1,1,16.683333333333334,0.43881857070962754,0.6492647775546277,0.0,0.38161802540222806
model_31800,ascent/8cm/0.45,24,0,1,0,0,20.0,0.041628541586952686,0.45000393440378583,0.0,0.48975637927651405
